Date,Open,High,Low,Close,Adj Close,Volume
2020-09-18,10.250000,10.250000,9.820000,9.890000,9.890000,564300
2020-09-21,9.900000,9.960000,9.860000,9.860000,9.860000,762800
2020-09-22,9.960000,9.960000,9.850000,9.880000,9.880000,1280800
2020-09-23,9.900000,9.905000,9.790000,9.850000,9.850000,192600
2020-09-24,9.850000,9.850000,9.750000,9.770000,9.770000,605500
2020-09-25,9.770000,9.850000,9.770000,9.810000,9.810000,692500
2020-09-28,9.900000,9.940000,9.830000,9.830000,9.830000,72300
2020-09-29,9.880000,9.880000,9.760000,9.780000,9.780000,188600
2020-09-30,9.850000,9.850000,9.770000,9.780000,9.780000,546200
2020-10-01,9.850000,9.850000,9.740000,9.760000,9.760000,1068100
2020-10-02,9.730000,9.800000,9.730000,9.740000,9.740000,3925600
2020-10-05,9.800000,9.800000,9.690000,9.710000,9.710000,3147800
2020-10-06,9.740000,9.750000,9.670000,9.680000,9.680000,1902400
2020-10-07,9.720000,9.750000,9.670000,9.710000,9.710000,1325300
2020-10-08,9.700000,9.750000,9.700000,9.717000,9.717000,550300
2020-10-09,9.760000,9.770000,9.722000,9.750000,9.750000,2401500
2020-10-12,9.820000,9.820000,9.730000,9.730000,9.730000,172300
2020-10-13,9.850000,9.850000,9.670000,9.700000,9.700000,1623900
2020-10-14,9.750000,9.770000,9.680000,9.680000,9.680000,2177900
2020-10-15,9.670000,9.720000,9.650000,9.680000,9.680000,348000
2020-10-16,9.690000,9.705000,9.670000,9.680000,9.680000,304800
2020-10-19,9.710000,9.730000,9.677000,9.680000,9.680000,348400
2020-10-20,9.710000,9.740000,9.670000,9.670000,9.670000,77900
2020-10-21,9.730000,9.730000,9.650000,9.660000,9.660000,292100
2020-10-22,9.660000,9.670000,9.630000,9.650000,9.650000,1441900
2020-10-23,9.650000,9.700000,9.630000,9.630000,9.630000,2067600
2020-10-26,9.650000,9.660000,9.640000,9.650000,9.650000,2394800
2020-10-27,9.650000,9.700000,9.640000,9.650000,9.650000,304100
2020-10-28,9.740000,9.740000,9.630000,9.650000,9.650000,1571400
2020-10-29,9.660000,9.700000,9.620000,9.650000,9.650000,1652800
2020-10-30,9.650000,9.690000,9.600000,9.630000,9.630000,1154300
2020-11-02,9.630000,9.640000,9.600000,9.630000,9.630000,716700
2020-11-03,9.630000,9.700000,9.620000,9.690000,9.690000,189800
2020-11-04,9.700000,9.730000,9.680000,9.690000,9.690000,509800
2020-11-05,9.760000,9.780000,9.730000,9.770000,9.770000,1534200
2020-11-06,9.790000,9.790000,9.720000,9.720000,9.720000,1444000
2020-11-09,9.700000,9.725000,9.660000,9.670000,9.670000,163200
2020-11-10,9.660000,9.800000,9.660000,9.700000,9.700000,714700
2020-11-11,9.690000,9.740000,9.660000,9.680000,9.680000,724500
2020-11-12,9.670000,9.720000,9.670000,9.700000,9.700000,1501900
2020-11-13,9.740000,9.740000,9.690000,9.690000,9.690000,754800
2020-11-16,9.700000,9.730000,9.685000,9.700000,9.700000,151300
2020-11-17,9.720000,9.720000,9.690000,9.710000,9.710000,46000
2020-11-18,9.740000,9.740000,9.670000,9.740000,9.740000,301700
2020-11-19,9.750000,9.800000,9.700000,9.720000,9.720000,44500
2020-11-20,9.710000,9.735000,9.690000,9.710000,9.710000,995900
2020-11-23,9.790000,9.790000,9.710000,9.750000,9.750000,134000
2020-11-24,9.780000,9.780000,9.700000,9.760000,9.760000,52500
2020-11-25,9.760000,9.766000,9.700000,9.760000,9.760000,1332400
2020-11-27,9.800000,9.850000,9.770000,9.830000,9.830000,416200
2020-11-30,9.880000,9.900000,9.826000,9.880000,9.880000,1623700
2020-12-01,9.870000,9.880000,9.820000,9.880000,9.880000,1394300
2020-12-02,9.880000,9.885000,9.840000,9.870000,9.870000,1441000
2020-12-03,9.880000,9.880000,9.860000,9.870000,9.870000,513200
2020-12-04,9.880000,9.890000,9.860000,9.880000,9.880000,405400
2020-12-07,9.880000,9.980000,9.870000,9.940000,9.940000,2085300
2020-12-08,9.940000,9.980000,9.830000,9.860000,9.860000,2296400
2020-12-09,9.890000,9.970000,9.840000,9.920000,9.920000,3394300
2020-12-10,9.930000,9.930000,9.880000,9.910000,9.910000,7606800
2020-12-11,9.960000,9.960000,9.910000,9.940000,9.940000,900000
2020-12-14,9.960000,9.980000,9.940000,9.980000,9.980000,1982500
2020-12-15,9.970000,10.030000,9.900000,9.970000,9.970000,1162400
2020-12-16,9.950000,10.000000,9.940000,9.945000,9.945000,1191600
2020-12-17,9.980000,10.000000,9.945000,9.970000,9.970000,1483600
2020-12-18,9.980000,9.980000,9.950000,9.960000,9.960000,869000
2020-12-21,9.980000,10.000000,9.960000,9.970000,9.970000,532800
2020-12-22,10.030000,10.030000,9.970000,10.000000,10.000000,748300
2020-12-23,10.030000,10.030000,9.995000,10.030000,10.030000,2353700
2020-12-24,10.080000,10.100000,10.010000,10.040000,10.040000,2093000
2020-12-28,10.110000,10.180000,10.040000,10.080000,10.080000,4067900
2020-12-29,10.100000,10.110000,10.030000,10.060000,10.060000,1784600
2020-12-30,10.040000,10.080000,10.020000,10.070000,10.070000,3152700
2020-12-31,10.070000,10.070000,10.010000,10.010000,10.010000,1264100
2021-01-04,10.030000,10.080000,10.020000,10.040000,10.040000,1172700
2021-01-05,10.040000,10.040000,10.000000,10.020000,10.020000,685700
2021-01-06,10.000000,10.020000,10.000000,10.010000,10.010000,636600
2021-01-07,10.000000,10.040000,10.000000,10.030000,10.030000,1075500
2021-01-08,10.050000,10.050000,10.020000,10.030000,10.030000,735600
2021-01-11,10.050000,14.000000,10.030000,13.200000,13.200000,108167500
2021-01-12,14.990000,15.630000,13.000000,14.150000,14.150000,112100500
2021-01-13,15.100000,17.120001,14.500000,16.719999,16.719999,94091500
2021-01-14,18.709999,20.139999,16.100000,17.360001,17.360001,140983000
2021-01-15,17.809999,21.000000,16.200001,18.360001,18.360001,184211300
